number,title,description
Theme 26,Jobs," the purpose of the jobs code is to:
     (i) identify interventions explicitly focused on addressing jobs-related challenges and track progress over
          time
     (ii) enable operational teams to access best practice resources from the jobs-coded portfolio as well as
          technical support from the jobs ccsa.
the jobs code will track all wbg activities that have an explicitly stated and substantive link to creating more,
better, and/or inclusive jobs. explicit and substantive refers to activities selected or designed with a focus on
jobs. activities intended to analyze or diagnose labor market and jobs-related challenges in a country, program,
or specific project may also be included even if not aiming to create jobs.
specifically, a first order objective or expected development impact of the activity must be to create better, and/or
inclusive jobs. this means that either direct and indirect job creation or improvement can be covered, if it is a
part of the focus of the operation (lending and non-lending) or investment. if job creation or improved job quality
is simply a by-product / secondary result of an activity with another primary objective or expected development
impact, this condition is not met.
teams should use the jobs code when there is a reference to addressing a jobs-related challenge in one or more
of the following: the project title, development objective, expected development impact, results framework,
and/or components.
all instruments are relevant - lending (ipf and dpf) and non-lending (ta and esw).
the three level 3 codes are not mutually exclusive.
                                                     16
 "
Theme 27,Job Creation," job creation: projects with interventions that relate to the creation of
                             more direct, indirect, and/or inclusive jobs* for project target beneficiaries, whether
                             short or long term.
                             also includes job creation from the establishment of new firms/enterprises (firm
                             entry), and increases in entrepreneurs* and self-employed and their businesses.
                             *note: jobs = “activities that generate income, monetary or in kind, without violating
   job creation 
                             human rights” (wdr 2013)
                             "
Theme 28,Job Quality," job quality includes projects addressing worker productivity, working
                   conditions and benefits, earning outcomes, sustained jobs and any social benefits
                   accruing from jobs. components of jobs quality projects include interventions
                   addressing health safety laws, core labor standards, better working hours,
                   unemployment insurance, social pension, income diversification support, social
                   cohesion etc.
                   "
Theme 29,Youth Employment," youth employment: projects with interventions supporting financial
                   and jobs outcomes for youth, often through youth employment programs. includes
                   results for disadvantaged youth (e.g. orphans, street kids, substance abuse etc.).
                   normally defined for age group 15-29, but age range may also depend on national
                   definitions.
youth employment
                   "
Theme 30,Public Private Partnerships," ppp is defined as, “any contractual arrangement between a public entity or authority and a
private entity, for providing a public asset or service, in which the private party bears significant risk and
management responsibility.”
‘public services’ include any service that the relevant government considers its responsibility to provide or ensure
is provided. the focus on long-term assets reflects the long-term nature of a ppp contract. for the most part this
means ppps deal with fixed assets, but may also include related long-life assets that are somewhat purpose or
site-specific, such as train rolling stock. ‘public asset or service’ refers to basic services where there is not a
competitive market for their provision. therefore, it excludes activities such as cell licenses, real estate and
mineral resource exploitation.
key ppp criteria:
      public good or service.
      operational responsibility rests with the private sector.
      there is a legal agreement.
      long-term contractual arrangement.
      payments are often linked to performance.
in order to select a ppp option for a lending operation or an advisory mandate, one of two requirements should
be met:
      1. part or the whole project is expected to be procured through ppps.
      2. the project includes specific or targeted actions that support ppps.
"
Theme 31,Enterprise Development," improves the competitiveness of micro, small, and medium enterprises (msmes) and the
environment in which they operate. this includes but not limited to how firms can access skills that increase their
knowledge, productivity, and competitiveness through demand-side interventions and improved matching with
the supply-side.
"
Theme 32,Entrepreneurship," helps client governments seeking to foster entrepreneurial activity,
                            provides analysis and digital entrepreneurship programs designed to spur economic
                            activity in knowledge industries, reduce information asymmetries, create high-value
                            jobs, and spur high-tech innovation. helps women entrepreneurs overcome the
                            constraints they face in achieving full economic participation, and in maximizing
                            their potential contributions to the economy and to society.
 entrepreneurship 
                            "
Theme 33,Global value chains," helps developing countries put in place the trade, investment, and
                    complementary supply-side policies to connect to global value chains (gvcs) and
                    realize the economic and development benefits.
                    "
Theme 34,MSME Development," improves the competitiveness, management quality, performance and
                             market linkages, technology support of micro, small, and medium enterprises
                             (msmes).
  msme development
                             "
Theme 35,Regional Integration," supports country clients in trade and regional integration (such as eeu integration and eac
integration), economic integration, innovation and integration policy, and trade and integration.
"
Theme 36,ICT," ict level 2 theme code applies to all activities which have ict related interventions.
"
Theme 37,ICT Solutions," ict solutions refer to comprehensive ict related interventions from
                            installation of it equipment (hardware, software), development of physical
                            infrastructure, applications and service delivery, skill development, to upstream work
                            (creation of enabling environment, digital ecosystem, etc.)
                            "
Theme 38,ICT Policies," ict policies refer to technical assistance or policy triggers directly
                            related to telecom and ict policies, regulations, and legislations/law.
                            "
Theme 39,Financial Stability," finance and market global practice provides financial sector diagnostics and policy advice to
 national financial sector regulators and supervisors to help build strong, efficient and inclusive financial systems
 with the view to promote financial sector development and financial stability.
 "
Theme 40,Financial Sector Oversight and Policy/Banking Regulation & Restructuring," focusing on prudential regulation and supervision as well as systemic
                               stability. providing policy advice and implementation support to national financial
                               sector authorities.
                               "
Theme 41,Financial Sector Integrity," support the establishment and strengthening of legal and operational
                           frameworks for anti-money laundering and combating the financing of terrorism
                           (aml/cft), asset disclosures systems, and the recovery of the proceeds of crime
                           under the aegis of the stolen asset recovery initiative (star).
                            "
Theme 42,Financial Infrastructure and Access," the financial infrastructure and access theme refers to activities that promote access to financial
 services and the financial system, including transaction accounts, savings, and credit. this theme is applicable
 to access initiatives for both firms and individuals. this theme focuses on the legal, regulatory and supervisory
 frameworks and financial infrastructure for financial access and financial inclusion, including payment systems,
 credit reporting systems, secured transactions and insolvency frameworks, financial consumer protection,
 financial literacy, savings, microfinance, sme finance, alternative delivery channels, and universal financial
 access.
"
Theme 43,Credit Infrastructure," credit infrastructure is the set of laws and institutions that enables
                              efficient and effective access to finance, stability, and socially responsible economic
                              growth, with particular focus on:
                                      credit reporting.
                                      secured transactions & collateral registries; as well as creditor/debtor rights.
                                      insolvency, npl and debt resolution.
                              the wbg is also the global standard setter, designated by the financial stability
                              board, in the area of insolvency and creditor/debtor rights. it has developed the world
   credit infrastructure      bank principles for effective insolvency & creditor rights systems which, together
                         with the uncitral legislative guide, form the global standard for insolvency.
                              countries can seek assistance from the wbg in being benchmarked against these
                              standards through the report on the observance of standards and codes (rosc)
                              program.
                              non-existent or poor credit infrastructure poses considerable risks and constrains
                                                       32
  financial institutions’ ability to expand their financial products and services.
 however, the availability of credit information sharing, secured lending, and rules
 that govern distressed businesses and bankruptcy, significantly increases their
 willingness to support the underserved and unserved individuals and micro, small,
 and medium enterprises (msmes). besides boosting access to finance, credit
 infrastructure plays a crucial role in mitigating investor and creditor risk, reducing
 the instability that could be caused by high levels of non-performing loans. this, in
 turn, lowers the cost of credit. the possibility of using reputational, traditional, and
 non-traditional collateral helps individuals and msmes gain access to finance as well
 as more favorable and competitive financing options. the wbg helps its clients and
 the global community establish and/or strengthen credit reporting, secured
 transactions, and insolvency as well as creditor/debtor rights systems. we focus on
 countries where limited financial inclusion and weak insolvency systems remain a
 severe constraint to individuals and msmes.
 "
Theme 44,Payment & Markets Infrastructure," payment and settlement systems are the infrastructure elements established
to facilitate the clearing and settlement of monetary and other financial transactions.
the national payments system (nps) is the collection of all payment and settlement
systems covering large value payment systems, securities settlement systems, inter-
bank money markets and foreign exchange related systems, retail payment systems
including for ecommerce, international remittances, government payment systems for
payments made and received by government; and cross-cutting areas like legal and
regulatory framework, oversight framework and co-operation framework. safe and
                           33
                      efficient nps (i) promote economic and financial sector development, (ii) support
                     financial stability, and (iii) are a critical enabler of financial access and inclusion
payment & markets
                     "
Theme 45,MSME Finance," msme financial support targets the financial needs of this component
                    of the enterprise sector which, in general represents well over 95 percent of total
                    registered firms, creating around 60 percent of all jobs and contributing between 35
                    and 55 percent of gdp. traditionally, support has been provided in the forms of lines
                    of credit through apex lending institutions or second tier banks for on lending to
                    msmes at market based interest rates. this has clear linkages with the president’s
                    overall financial inclusion agenda and the 2020 targets that have been developed
                    around this.
                    increasingly msme financing support is focusing on the design and improvement
                    of credit guarantee facilities; developing financing support for msmes operating in
                    the agricultural sector; working on early stage financing interventions around angel
msme finance 
                    finance, seed finance, and series a & b lending; innovative possibilities for
                    financing msmes based upon new fintech solutions (crowd funding, p2p lending,
                    use of big data, digital finance, etc); working with state owned financial
                    institutions (sofis) around their sme lending agenda (both advisory and lending);
                    and the utilization of other types of government support programs such as
                    government procurement targeted at smes.
                    this works links in crucially with the work around financial sector infrastructure (a)
                    credit information systems; (b) insolvency and creditor rights; (c) secured
                    transactions registries; (d) payments systems; and (e) enhanced auditing and
                    accounting practices for smes.
                    "
Theme 46,Financial Inclusion," financial inclusion is defined as access to, and usage of, a range of
                    appropriate and affordable financial services, including savings, insurance, payments,
                    and credit. financial consumer protection and financial capability (also referred to
                    as literacy) are considered as essential to ensure safe and beneficial financial access
                    and inclusion. financial inclusion engagements include (1) assistance to national
                    authorities to improve the policy, legal, regulatory, supervisory, and institutional
                    framework to create an enabling environment for responsible financial access and
                    inclusion while preserving the stability of the system, and to meet their financial
                    inclusion-related goals; (2) development of guidance, diagnostic tools, and toolkits
                    for these purposes; (3) asa and lending operations to expand financial access and
                    improve financial inclusion, and (4) technical inputs for the g20 global partnership
                    for financial inclusion (gpfi), relevant ssbs and other international task forces.
financial inclusion
      
                    "
Theme 47,Finance for Development," to provide support to countries in implementing new instruments and capital markets solutions to
close large financing gaps focusing on financing for agriculture, infrastructure and housing finance; to manage
the rising costs of climate and disaster risk; and to develop sustainable and efficient pension and insurance
systems.
"
Theme 48,Disaster Risk Finance," agricultural market development: development of micro or meso-
                      level insurance products and markets in support of disaster risk financing for
                      agriculture. involves increasing the capacity to use domestic insurance markets to
                      support financial protection of households and firms against disasters.
                      insurance-based solutions for resilient livelihoods: application of insurance-
                      based tools and approaches in disaster risk financing for resilient livelihoods.
                      involves applying actuarial skills and techniques to the design of shock-responsive
                      safety net systems that provide financial protection to vulnerable households and
                      communities. this business line responds to growing momentum to explore the use
                      of cash transfers as a response mechanism to disasters, and facilitating a greater role
disaster risk finance
                      for national actors in humanitarian response.
        
                      sovereign disaster risk financing: increasing the capacity of sovereigns to better
                      plan, prepare for, and manage the financial aspects of disaster-related risks. links to
                      work on public financial management, public debt management, macroeconomics
                      and fiscal stability, and the structuring and execution of financial solutions.
                      sub-national disaster risk financing: increasing the capacity of sub-nationals
                      and soes to better plan, prepare for, and manage the financial aspects of disaster-
                      related risks. links to work on public financial management, public debt
                      management, macroeconomics and fiscal stability, and the structuring and execution
                      of financial solutions.
                      public financial management of natural disasters: developing policy
                      frameworks and implementation plans to support a more comprehensive approach
                      to public financial management of natural disasters.
                      "
Theme 49,Agriculture Finance," the goal is to enhance access of farmers and agricultural small and
                          medium enterprises to suitable financial services as a way to: (1) increase
                          agricultural income; (2) reduce vulnerability to agricultural shocks, and; (3)
                          facilitate the consolidation of farms into larger units.
                          agricultural finance interventions aim at expanding access to finance particularly
agriculture finance 
                          to small holder farmers and agriculture sme agribusinesses in developing countries,
                          so as to facilitate the improvement in productivity, resilience and profitability of
                          those actors and entities, increase financial inclusion in the agriculture/rural space
                          and facilitate the transition of non-viable smallholders out of agriculture.
                          interventions and activities include:
                               expansion of a variety of (preferably private) financial services not solely
                                   those related to provision of credit, but also including savings, leasing,
                                   payment systems, digital finance and insurance products tailored to the
                                   needs and requirements of farmers (emphasis on small holders) and
                                   agricultural smes.
                               strengthening the main suppliers of financial services to agriculture and
                                   agricultural smes (financial cooperatives, mfis, value chain firms, public
                                   institutions as well as banks).
                               definition of adequate public policies and regulatory frameworks.
                          agricultural insurance interventions aim to expand the use of innovative insurance
                          solutions to help farmers’ access financing and improve their resilience in the face
                          of natural disasters, which is being exacerbated by climate change. the program
                          focuses on:
                               technical assistance to ministries, regulators and specialized government
                                   agencies, project implementation work with insurance companies, financial
                                   institutions and regional economic bodies.
                               supporting the development of risk transfer schemes at the regional level to
                                   provide cost effective and timely reinsurance capacity to local markets.
                               providing dedicated national and regional skills transfer programs through
                                   long term attachments or specialized university level trainings.
                               better aligning of risk management solutions with the promotion of selected
                                   value chains focusing on cash crops specific to national/regional food
                                   security agendas/trade efforts.
                          "
Theme 50,Infrastructure Finance," the use of non-traditional or alternative financing mechanisms and
                           contractual arrangements to fund and finance the development, construction,
                           operation, and maintenance of physical infrastructure (e.g. transport, electricity,
                           water and sewerage, and sanitation) or social infrastructure (education and health
                           care facilities).
                           the key objectives of capital markets programs are (i) to build capital markets as an
                           alternative and/or complementary source of financing to support critical sectors such
                           as corporate, smes, housing, and infrastructure, thus supporting economic growth;
                           and (ii) to transfer risks across different participants of the financial sector thereby
                           supporting the stability of the financial system. programs include developing the
                           enabling environment for capital markets transactions in general or for specific
                           sectors (corporate, smes, housing, infrastructure, etc.) as well as support to key
                           stakeholders (issuers, supervisors, industry associations, etc.)
  infrastructure finance   activities to develop the enabling environment for capital markets cover the legal
(including capital markets and regulatory framework for securities issuance, investment, and trading, and for
  and investment funds)    the supervision of market participants (issuers, investors, and intermediaries); tax
                      framework; market infrastructure and intermediaries. activities to support key
                           stakeholders include technical assistance to issuers (e.g. ministries of finance,
                           central banks, sub-sovereign entities, private sector entities); regulators (e.g. central
                           bank, capital market regulator); and industry associations (e.g. bond market
                           association).
                           programs are designed with an assessment of the current stage of capital markets
                           development and institutional capacity, taking a comprehensive view of financial
                           sector needs, with a careful sequencing of reforms to ensure that the pre-requisites
                           for successful reform implementation are present. typical sequencing emphasizes
                           government debt market development as the foundation for the development of non-
                           government securities markets and derivatives markets. however, programs are
                           tailored to country-specific circumstances.
                           this code also includes world bank activities and programs that help governments
                           develop various forms of investment funds -- including sovereign wealth funds,
                           strategic investment funds, private equity/ venture capital funds (pevc) etc. this
                                                   42
 code also includes activities and programs that support building the enabling
environment for investment funds.
"
Theme 51,Housing Finance," the objective of housing finance is to develop deep, resilient and
                      affordable housing finance markets that are accessible to rising middle-income but
                      also to lower/informal income households; where risks are well-managed and
                      regulated and policy interventions are comprehensive, socially targeted and fiscally
                      responsible.
                      the core programs that will be covered by this sector code include: (i) developing
                      resilient     housing      finance      markets     (diagnostic,    building    blocks,
                      legal/regulatory/policy reforms, institution building); (ii)long term funding:
                      capital market solutions to provide local currency long term funding; (iii) housing
                      finance for the poor: implementing suitable system and products, credit markets,
housing finance 
                      housing microfinance, rental housing, residential leasing, contractual savings,
                      smarter subsidies, guarantee/ insurance schemes for lower & informal income
                      households, and; (iv) affordable housing (with suur): reducing the cost of formal
                      housing, improving access to finance for developers, reforms of land use and
                      primary infrastructure, facilitate titling, introduce cheaper technologies and building
                      techniques, support energy efficient buildings.
                      "
Theme 52,Public Finance Management," public finance management (pfm) basically deals with all aspects of resources mobilization and
 expenditure in government.
 "
Theme 53,Public Expenditure Management," world bank interventions in public expenditure and financial
                               management generally aim to contribute to the achievement: budget reliability,
                               transparency and accountability of public finances, effective management of assets
                               and liabilities, policy-based fiscal strategy and budgeting, predictability and control
                               in budget execution, accounting and reporting, external oversight of public finances.
                               improved pfm is expected to contribute to improvements in aggregate fiscal
                               discipline and allocative and operational efficiency of public expenditure, which in
                               turn will contribute to more and better service delivery and improvements in broader
                               development outcomes.
                               "
Theme 54,Domestic Revenue Administration," world bank interventions in the design and implementation of reforms
                     of tax administration and policy and management of non-tax revenue aimed at: (i)
                     supporting revenue generation for sdgs and service provision for the poor as well
                     as growth-enhancing infrastructure; (ii) supporting a sound business climate; (iii)
                     boosting shared prosperity; (iv) improving revenue compliance, including by
                     reducing the cost of compliance, and enhancing the efficiency and effectiveness of
                     revenue administration.
                     "
Theme 55,Debt Management," debt management refers to the process of establishing and executing a
                      strategy for managing the government’s debt in order to raise the required amount
                      of funding at the lowest possible cost over the medium to long run, consistent with
                      a prudent degree of risk. moreover, debt management will look into activities to
                      develop and maintain an efficient domestic market for government securities.
                      "
Theme 56,Rule of Law," rule of law is the principle that all people and institutions are subject to and accountable to law that
is fairly applied and enforced; the principle of government by law. the rule of law is a system in which the
following four universal principles are upheld:
      the government and its officials and agents as well as individuals and private entities are accountable
         under the law.
      the laws are clear, publicized, stable, and just; are applied evenly; and protect fundamental rights,
         including the security of persons and property and certain core human rights.
      the process by which the laws are enacted, administered, and enforced is accessible, fair, and efficient.
         justice is delivered timely by competent, ethical, and independent representatives and neutrals who are of
         sufficient number, have adequate resources, and reflect the makeup of the communities they serve.
"
Theme 57,Judicial and other Dispute Resolution Mechanisms," effective and equitable justice sector institutions operate as
                                  safeguards against abuses of power and channels for the protection of rights and
                                  peaceful resolution of conflict. they enable private sector activity by increasing
                                  the predictability of behavior and certainty of process. in terms of the world
                                  bank’s programmatic priorities and interests, justice systems have specific
                                  instrumental roles in preventing and mitigating conflict, crime, and violence;
  judicial and other dispute      ensuring executive accountability; fostering private sector growth; and ensuring
   resolution mechanisms          compliance of private sector actors and citizens with legal and regulatory
                             frameworks. relevant justice sector institutions include judicial services, court
                                  enforcement agencies, prosecution, legal defense and legal aid services, ministries
                                  of justice and legal affairs, law enforcement agencies and bar associations.
                                  "
Theme 58,Legal Institutions for a Market Economy," sound legal and regulatory frameworks are essential to facilitate
                         growth and equity enhancing policies from investment climate to infrastructure
                         provision to environmental safety to legal identity. the bank supports countries
                         on both the substance of such frameworks and the processes needed to produce
                         strong, context specific and implementable laws and regulations. the bank also
                         provides support for the institutions responsible for devising, implementing and
                         enforcing these frameworks.
                         "
Theme 59,Personal and Property Rights," chronic grievances and perceptions of injustice are indicators of
                             development failures and potential drivers of conflict and violence. in many
                             developing environments formal justice sector institutions may not be accessible,
                             legitimate or effective sites to manage these grievances and promote rights. the
                             bank supports both analytical and operational work aimed at supporting
                             institutional arrangements for the management of conflicts, and mediation of
                             rights and entitlements, typically around social order problems (urban violence,
                             community justice, gender-based violence); land and natural resource disputes;
                             and grievances around the distribution of public assets.
personal and property rights
                             "
Theme 60,Public Administration," world bank interventions in public administration focus on administrative and civil service reform;
transparency, accountability and good governance; e-government and e-services; civil registration and
identification; public assets and investment management; state-owned enterprise reform and privatization; and
municipal institution building.
"
Theme 61,Administrative and Civil Service Reform," interventions aimed at improving the structure, management, and
                                capacity of organizations and human resources in the public administration or its
                                constituent entities. such interventions may focus on central or subnational (e.g.,
                                regional, provincial, state, local) public administration, and would address the
                                following:
  administrative and civil             institutional structures: which include (a) organizational structures, (b)
                                        assignments of organizational responsibilities, functions and authority
   service reform 
                                        among those organizational structures, and (c) rules governing those
                                        assignments and the behavior of those organizational units and their staff.
                                        these institutional arrangements, as a set, shape the incentives governing
                                        organizational behavior.
                                       management: which would include (a) organizational goal setting and
                                        performance management; (b) personnel management, including
                                        recruitment, promotion, and individual performance management; (c)
                                        compensation policy.
                                       capacity: which would include: (a) administrative systems, (b) business
                                        processes, and (c) human capital.
                                                     52
                         "
Theme 62,"Transparency, Accountability and Good Governance"," open government – increased transparency, citizen participation and
                        collaboration between government and citizens – is a key driver of development in
                        the 21st century. citizen-centric governance, with openness as a central pillar,
                        improves the use of public resources, facilitates inclusive decision-making
                        processes and increases trust between governments and citizens. governments that
    transparency,       are more open are governments better positioned to act effectively and efficiently,
accountability and good to foster private sector growth and to respond to the true needs of all citizens.
   governance 
                        "
Theme 63,"E-Government, incl. E-services"," the transition from fragmented and outdated government systems to
                       modern integrated digital solutions offers great opportunities to improve
                       productivity, efficiency, effectiveness, responsiveness, and trust in government.
                       one of the key challenges is to integrate digital governance strategies into public
                       sector modernization efforts to create a data-driven, digital culture in the public
 e-government & e-     sector. in addition, the coordination of ongoing, parallel, reform activities is crucial
   services       to maximize the benefits of large-scale ict investments and encourage the use of
                       shared platforms and standards for cost-effective delivery and sustainability of
                       government systems and e-services. world bank interventions in e-government
                       will aim to addresses complex and transformative development challenges through
                       integrated solutions that incorporate technology and innovation, cross-practice
                       delivery of solutions, and global sharing of knowledge and good practices.
                       "
Theme 64,Civil Registration and Identification," modern civil registries and robust civil identification systems are
                       powerful tools in the fight against poverty, social exclusion, and inequality. identity
                       management systems are key to improving public sector policies and delivering
                       better public and private services. above all, they help ensure that individuals can
civil registration and access their civic and legal rights.
 identification 
                       "
Theme 65,Public Assets and Investment Management," public investment management (pim) involves a complex series of
                      stages involved in identifying, preparing, selecting, budgeting and implementing
                      projects and programs in the public sector. pim has been characterized as being
                      composed of eight essential functions that need to occur in the public sector but
                      may be organized or arranged somewhat differently in different
                      governments. alternatively, pim can be seen as in terms of the project cycle or
                      the series of stages involved as a project moves from being identified to being
                      implemented and evaluated as an operating project. eight key functions consist
   public assets and  of: (i) investment guidance, project development, and preliminary screening; (ii)
investment management formal project appraisal; (iii) independent review of appraisal; (iv) project
                 selection and budgeting; (v) project implementation; (vi) project adjustment; (vii)
                      facility operation and maintenance; and (viii) basic completion review and
                      evaluation. these functions or stages of pim are located in both the central and
                      service delivery agencies of government depending upon the degree of delegation
                      of functions in a government, but typically the key functions of guidelines,
                      screening, budget approvals and oversight over methods, quality of appraisal and
                      implementation performance are located in the central agencies responsible for
                      finance, budget and economic planning. service delivery agencies are typically
                      delegated functions of project identification, design and appraisal and
                      management of implementation. external review of appraisals and ex post
                      evaluation of projects and programs could be delegated to separate entities under
                      a central agency.
                      "
Theme 66,State-owned Enterprise Reform and Privatization," a state-owned enterprise (soe) is a legal entity that is created by the
government in order to partake in commercial activities on the government's behalf.
the goals of soe reform are not simply to enhance corporate productivity and
financial performance, but to create an optimal institutional arrangement
compatible with the reform of a market-oriented economy. soes, reflects
privatization reform and its implementation.
"
Theme 67,Municipal Institution Building," in recent decades, the decentralization of resources and decision-
                         making has strengthened the role of subnational governments in promoting growth
                         and shared prosperity. on the revenue side, subnational governments are
                         increasingly involved in resource mobilization, including taxation. on the
                         expenditure side, subnational governments have broadened and deepened their
                         responsibilities for service delivery related to water and sanitation, health,
                         education, and infrastructure, as well as local development. for subnational
                         governments to successfully deliver on their mandates, effective intergovernmental
  municipal institution  systems in fiscal and administrative areas are required. world bank activities in
     building       decentralization and intergovernmental relations will focus on: institutional and
                         fiscal frameworks, improving the capacity of subnational governments, and support
                         for service delivery and frontline providers.
                         "
Theme 68,Data Development and Capacity Building," lending, grants, or ta for (i) improvements of the enabling environment supporting increased
quantity, quality, dissemination and use of data; and/or (ii) direct support for data collection, curation,
dissemination or use of national or subnational data about developing countries’ economic, social, and
environmental variables.
"
Theme 69,"Data Production, Accessibility and Use"," activities for the collection, curation, dissemination, and use of data
                      about developing countries’ economic, social, and environmental variables.
                      "
Theme 70,Institutional Strengthening and Capacity Building," institutional strengthening includes: technical assistance activities which
                         support legal and institutional frameworks for national or subnational statistics, open
                         data, geo-spatial data, the creation of inter-agency networks for the production or
                         dissemination of data, and similar government activities. capacity building includes
                         activities that enhance the skills of government or non-government stakeholders to
                         understand and use statistics or data.
                         "
Theme 71,Social Inclusion," activities that identify groups excluded on the basis of their identity and include specific actions or
 mechanisms to address their needs and promote their inclusion.
 "
Theme 72,Indigenous People and Ethnic Minorities," activities aimed specifically at inclusion, visibility, engagement or
                            knowledge generation with or related to indigenous peoples or ethnic minorities.
                                  "
Theme 73,Other Excluded Groups," social exclusion is the process in which individual of people are
               systematically blocked from (or denied full access to) various rights, opportunities and
               resources that are normally available to members of a different group, and which are
               fundamental to social integration within that particular group (e.g., housing, employment,
               healthcare, civic engagement, democratic participation, and due process).
               "
Theme 74,Participation and Civic Engagement," activities aimed at engaging citizens/beneficiaries in a two-way interaction
                        with government, the private sector or other citizens at the policy, planning, budgeting
                        or service delivery level.
                        "
Theme 75,Social Protection," activities that promote (i) resilience by helping individuals, households and communities better insure
against, different types of risk; (ii) equity by reducing poverty and destitution; and (iii) opportunity by building and
protecting human capital and improving skills and access to jobs. the arrangements used comprise informal,
market-based, and publicly provided activities, and are centered on managing risk.
"
Theme 76,Social Safety Nets," activities intended to provide social assistance or social care services
                            targeted in some way at the poor and vulnerable (i.e., in-kind or cash assistance to
                            poor and vulnerable individuals or families, including assistance to help cope with
                            consequences of economic or other shocks).
                            "
Theme 77,Social Insurance and Pensions," activities that support policy frameworks that protect old age income,
                            prevent old age poverty, and establish social insurance and public assistance for
                            persons with disabilities and survivors. instruments may be contributory or non-
                            contributory, public or private, mandatory or voluntary, including support for
                            occupational pension schemes, schemes for all or part of the public sector, and
                            sub-national schemes.
                            "
Theme 78,Social Protection Delivery Systems," activities focused broadly on developing social protection and labor
                           (spl) policy and systems. country-level spl systems work at the administrative
                           and policy levels to coordinate programs across the three main sp functions:
                           resilience (mainly social insurance), equity (mainly social assistance), and
                           opportunity (mainly labor market programs). this does not include
                           administration, institution building, and policy development for individual spl
                           programs. this does include assessments/analytical work, capacity building,
                           institutional and policy reform, and knowledge sharing with the objective of
                           building the administration or policies for spl systems across all spl programs.
                           "
Theme 79,Disability," activities intended at removing barriers to the participation of people
                                  with disabilities in economic, civic, and social life, and expanding equitable
                                  opportunities.
                                  "
Theme 80,"Fragility, Conflict and Violence"," roughly speaking, fragility is defined as a risk/ vulnerability (experienced by countries) for (i) violent
conflict usually of a political nature; (ii) social and interpersonal violence; (iii) repeated political crisis that
undermine the functioning of a state or a specific local governance structure; and (iv) a general state of anomie in
which institutions (state and societal) are so dysfunctional that basic management of society and economy is not
possible. such vulnerabilities in most cases tend to create violence and conflict.
countries face multiple and overlapping forms of fragility, conflict, and violence (fcv) – impacting all client types
– lics/mics/hics.emerging trends of fcv in the 21st century include civil conflict, subnational conflict, cross
border violence, political violence, internationalized conflict, conflict-induced forced displacement, organized
crime and trafficking, urban violence, and gender-based violence.
"
Theme 81,Conflict Prevention," conflict prevention refers to strategies used in the pre-violent phase, at
                              the front-end of the curve of conflict. they may include measures to increase trust
                              and establish predictability among the conflict parties. these strategies are intended
                              to keep disputes from escalating into violence.
                              much of wbg efforts aimed at tackling fcv do not address drivers most likely
                              affecting the absence of peace and stability. given the current risk-based approach
                              for addressing fcv, serious consideration must however, be given to the importance
 conflict prevention 
                              of the core, underlying causes of fragility and its prevention. underlying drivers of
                              fragility are often manifested in patterns of exclusion, discrimination and
                              patrimonialism and state capture by elites. horizontal inequalities, such as
                              inequitable access to political participation, land, decent employment, and public
                              services,” injustice”, “inequality”, “corruption” are as significant as economic
                              drivers in conflict.
                              "
Theme 82,Post-conflict Reconstruction," post –conflict reconstruction activities can be broadly defined as those
                     interventions 1) that focus on mainstreaming sensitivity to fcv across the wbg
                     portfolio (‘doing-no-harm’ or ‘doing-some-good’); 2) activities that address the
                     direct outcomes of fcv. efforts to mainstream fcv sensitivity in the wbg’s
                     portfolio is an approach designed not necessarily to solve the fundamental
                     impediment to development and stability but rather to address a development deficit.
                     these types of wbg interventions aim to help mitigate reputational risks to the bank
                     in complex fragile, conflict and transition settings. this includes ensuring that, at
                     minimum, wbg activities ‘do no harm’ in fcv environments and that, where
                     possible, projects help target conflict affected people. this is often achieved by
   post-conflict
                     adjusting the current portfolio and large-scale investments across sectors.
reconstruction 
                     "
Theme 83,Forced Displacement," interventions that address the developmental implications of forced
                          displacement for host countries, host communities and/or the displaced populations
                          (refugees and internally displaced persons). such interventions may be targeting
                          different stages of the displacement period, including preparedness/prevention in
                          advance of displacement, mitigating negative impacts during displacement or
                          facilitating solutions/resolutions for protracted situations.
                          "
